customerID,tenure,MonthlyCharges,TotalCharges,churn_probability,risk_segment
5542-TBBWB,1,69.9,69.9,0.9520729,Critical Risk
7439-DKZTW,1,80.55,80.55,0.94653046,Critical Risk
7577-SWIFR,1,89.25,89.25,0.94146925,Critical Risk
4060-LDNLU,7,96.2,639.7,0.93763167,Critical Risk
7465-ZZRVX,1,70.35,70.35,0.935642,Critical Risk
1452-VOQCH,1,75.1,75.1,0.9352053,Critical Risk
4912-PIGUY,1,84.6,84.6,0.9314888,Critical Risk
8161-QYMTT,7,94.1,701.3,0.9236801,Critical Risk
1640-PLFMP,1,70.25,70.25,0.9223036,Critical Risk
2262-SLNVK,1,70.1,70.1,0.92156225,Critical Risk
4234-XTNEA,2,79.95,174.45,0.9165056,Critical Risk
3318-NMQXL,3,92.0,266.8,0.91590416,Critical Risk
3338-CVVEH,12,94.55,1173.55,0.9085036,Critical Risk
8040-MNRTF,1,71.1,71.1,0.9082484,Critical Risk
3878-AVSOQ,1,71.25,71.25,0.9076591,Critical Risk
9617-INGJY,1,70.6,70.6,0.9076086,Critical Risk
9603-OAIHC,1,70.05,70.05,0.9066232,Critical Risk
1628-BIZYP,1,85.0,85.0,0.9059793,Critical Risk
2019-HDCZY,63,102.6,6296.75,0.9026363,Critical Risk
2545-EBUPK,2,84.05,186.05,0.9006667,Critical Risk
2789-HQBOU,3,80.35,253.8,0.89987534,Critical Risk
9432-VOFYX,17,70.8,1207.0,0.8991142,Critical Risk
8775-ERLNB,1,74.3,74.3,0.89883476,Critical Risk
9605-WGJVW,1,70.2,70.2,0.89834034,Critical Risk
5032-MIYKT,1,70.7,70.7,0.8981513,Critical Risk
1766-GKNMI,29,84.9,2516.2,0.89547575,Critical Risk
4273-MBHYA,1,89.35,89.35,0.8935296,Critical Risk
1508-DFXCU,12,81.45,912.0,0.89290136,Critical Risk
8739-XNIKG,5,84.0,424.75,0.89229006,Critical Risk
9360-OMDZZ,24,94.1,2322.85,0.89123416,Critical Risk
5382-SOYZL,22,95.1,2162.6,0.888774,Critical Risk
5628-FCGYG,21,84.1,1737.45,0.8884122,Critical Risk
6229-LSCKB,6,79.7,497.6,0.8881509,Critical Risk
2754-SDJRD,8,100.15,908.55,0.88708746,Critical Risk
7858-GTZSP,12,86.55,1066.9,0.88556546,Critical Risk
4927-WWOOZ,2,91.45,171.45,0.88543165,Critical Risk
